Dataset,Measure,Measure/Dataset Description,Unit/Transformation/Adjustment,Period Available,Area Available,API
OECD Consumer Barometer,,"Corresponds to the monthly growth rate of the normalised consumer confidence indicator (CCI), computed as the average of: i) financial situation over the past 12 months , ii) financial situation over the next 12 months, iii) the general economic situation over the next 12 months and iv) major purchases over the 12 next months","Growth rate, period on period",Jan 2010 - Jun 2024,OECD,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CSBAR,4.0/OECD.M.......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator (CLI),Amplitude adjusted,Adjusted to ensure that its cyclical amplitude on average agrees with that of detruded reference series,Index,Jan 2010 - Jul 2024,"Australia, Canada, France, Germany, Italy, Japan, Korea, Mexico, Spain, Türkiye, UK, US, Major four European countries, G7, G20, Brazil, China, India, Indonesia, South Africa, Major five Asia economies, NAFTA","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LI...AA...?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator (CLI),Normalised ,"Brings indicators onto a common scale, which renders the variables comparable.",Index,Jan 2010 - Jul 2024,"Australia, Canada, France, Germany, Italy, Japan, Korea, Mexico, Spain, Türkiye, UK, US, Major four European countries, G7, G20, Brazil, China, India, Indonesia, South Africa, Major five Asia economies, NAFTA","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LI...NOR...?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator (CLI),Trend restored ,Calculated by multiplying the amplitude-adjusted and ratio-to-trend CLI by the trend of the reference series to obtain the trend restored CLI.,"Growth rate, over 1 year",Jan 2010 - Feb 2024,"Australia, Canada, France, Germany, Italy, Japan, Korea, Mexico, Spain, Türkiye, UK, US, Major four European countries, G7, G20, Brazil, China, India, Indonesia, South Africa, Major five Asia economies, NAFTA","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LI...TR.GY..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator (CLI),Trend restored ,Calculated by multiplying the amplitude-adjusted and ratio-to-trend CLI by the trend of the reference series to obtain the trend restored CLI.,Index,Jan 2010 - Feb 2024,"Australia, Canada, France, Germany, Italy, Japan, Korea, Mexico, Spain, Türkiye, UK, US, Major four European countries, G7, G20, Brazil, China, India, Indonesia, South Africa, Major five Asia economies, NAFTA","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LI...TR.IX..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Bank activity,,Index,Jan 2010 - May 2024,Japan,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOAB......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Sales expectations,,Index,Jan 2010 - Jun 2024,Japan,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBC......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Demand or orders inflow tendency,,Index,Jan 2010 - Jun 2024,"Australia, Germany, South Africa","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBD......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Employment tendency,,Index,Jan 2010 - Jun 2024,"Australia, Mexico, Spain, Turkiye","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBE......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Finished goods stocks tendency,,Index,Jan 2010 - Jun 2024,"Germany,  Turkiye","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBF......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Prices expectations,,Index,Jan 2010 - Jun 2024,France,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBI......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Production tendency,,Index,Jan 2010 - Jun 2024,"Australia, France, Italy, Mexico, UK, Brazil","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBP......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Business situation,,Index,Jan 2010 - Jun 2024,"Canada, Germany, Korea, US, South Africa","https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBS......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Composite Leading Indicator [CLI components],Capacity utilization tendency,,Index,Jan 2010 - May 2024,Spain,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.STES,DSD_STES@DF_CLI,4.1/.M.LOCOBU......?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
